Parameter,Value,Unit,Description
InitialTemperature,90,°C,Initial canister temperature
AmbientTemperature,15,°C,Host rock temperature
RepositoryDepth,500,m,Repository depth
SimulationYears,1000,year,Simulation duration
DecayConstant,0.003,1/year,Temperature decay constant
